status,id,content_type,title,url
Archived,93-792,Reports,Social Security Benefits Are Not Paid for the Month of Death,https://api.congress.gov/v3/crsreport/93-792
Archived,93-931,Reports,Haiti: Background to the 1991 Overthrow of President Aristide,https://api.congress.gov/v3/crsreport/93-931
Active,94-166,Reports,Extraterritorial Application of American Criminal Law,https://api.congress.gov/v3/crsreport/94-166
Archived,94-408,Reports,The Davis-Bacon Act: Institutional Evolution and Public Policy,https://api.congress.gov/v3/crsreport/94-408
Archived,94-486,Reports,Supplemental Security Income (SSI),https://api.congress.gov/v3/crsreport/94-486
Archived,94-636,Reports,Radio and Television Broadcasting to Cuba: Background and Issues Through 1994,https://api.congress.gov/v3/crsreport/94-636
Active,94-803,Reports,Social Security: Cost-of-Living Adjustments,https://api.congress.gov/v3/crsreport/94-803
Active,94-834,Reports,Cost-of-Living Adjustments for Federal Civil Service Annuities,https://api.congress.gov/v3/crsreport/94-834
Active,94-953,Reports,Social Services Block Grant: Background and Funding,https://api.congress.gov/v3/crsreport/94-953
Active,95-1013,Reports,Bahrain: Issues for U.S. Policy,https://api.congress.gov/v3/crsreport/95-1013
Archived,95-1050,Reports,Terrorism at Home and Abroad: Applicable Federal and State Criminal Laws,https://api.congress.gov/v3/crsreport/95-1050
Active,95-1135,Reports,The Federal Grand Jury,https://api.congress.gov/v3/crsreport/95-1135
Active,95-118,Reports,Pension Benefit Guaranty Corporation (PBGC): A Primer,https://api.congress.gov/v3/crsreport/95-118
Archived,95-248,Reports,Cuba: U.S. Economic Sanctions Through 1996,https://api.congress.gov/v3/crsreport/95-248
Archived,95-256,Reports,The Au Pair Program,https://api.congress.gov/v3/crsreport/95-256
Active,95-519,Reports,Medal of Honor: History and Issues,https://api.congress.gov/v3/crsreport/95-519
Active,95-563,Reports,The Legislative Process on the House Floor: An Introduction,https://api.congress.gov/v3/crsreport/95-563
Archived,95-602,Reports,"Haiti: Efforts to Restore President Aristide, 1991-1994",https://api.congress.gov/v3/crsreport/95-602
Archived,95-710,Reports,The Fair Housing Act (FHA): A Legal Overview,https://api.congress.gov/v3/crsreport/95-710
Archived,95-724,Reports,Abortion Law Development: A Brief Overview,https://api.congress.gov/v3/crsreport/95-724
